timestamp_ms,router_name,interface_name,dir,type,val
887,s2,lo,rx,pkts,0
887,s2,lo,rx,bytes,0
887,s2,lo,rx,drop,4
887,s2,lo,rx,errs,0
887,s2,lo,tx,pkts,0
887,s2,lo,tx,bytes,0
887,s2,lo,tx,drop,0
887,s2,lo,tx,errs,0
887,s2,eth1,rx,pkts,622
887,s2,eth1,rx,bytes,17937932
887,s2,eth1,rx,drop,0
887,s2,eth1,rx,errs,0
887,s2,eth1,tx,pkts,348
887,s2,eth1,tx,bytes,23288
887,s2,eth1,tx,drop,0
887,s2,eth1,tx,errs,0
887,s2,eth2,rx,pkts,346
887,s2,eth2,rx,bytes,23112
887,s2,eth2,rx,drop,0
887,s2,eth2,rx,errs,0
887,s2,eth2,tx,pkts,630
887,s2,eth2,tx,bytes,18004372
887,s2,eth2,tx,drop,0
887,s2,eth2,tx,errs,0
1811,s1,lo,rx,pkts,0
1811,s1,lo,rx,bytes,0
1811,s1,lo,rx,drop,12
1811,s1,lo,rx,errs,0
1811,s1,lo,tx,pkts,0
1811,s1,lo,tx,bytes,0
1811,s1,lo,tx,drop,0
1811,s1,lo,tx,errs,0
1811,s1,eth1,rx,pkts,1062
1811,s1,eth1,rx,bytes,39266524
1811,s1,eth1,rx,drop,0
1811,s1,eth1,rx,errs,0
1811,s1,eth1,tx,pkts,566
1811,s1,eth1,tx,bytes,38679
1811,s1,eth1,tx,drop,0
1811,s1,eth1,tx,errs,0
1811,s1,eth2,rx,pkts,558
1811,s1,eth2,rx,bytes,37560
1811,s1,eth2,rx,drop,0
1811,s1,eth2,rx,errs,0
1811,s1,eth2,tx,pkts,1118
1811,s1,eth2,tx,bytes,39270855
1811,s1,eth2,tx,drop,0
1811,s1,eth2,tx,errs,0
3923,s2,lo,rx,pkts,0
3923,s2,lo,rx,bytes,0
3923,s2,lo,rx,drop,25
3923,s2,lo,rx,errs,0
3923,s2,lo,tx,pkts,0
3923,s2,lo,tx,bytes,0
3923,s2,lo,tx,drop,0
3923,s2,lo,tx,errs,0
3923,s2,eth1,rx,pkts,2230
3923,s2,eth1,rx,bytes,87579469
3923,s2,eth1,rx,drop,0
3923,s2,eth1,rx,errs,0
3923,s2,eth1,tx,pkts,1029
3923,s2,eth1,tx,bytes,69595
3923,s2,eth1,tx,drop,0
3923,s2,eth1,tx,errs,0
3923,s2,eth2,rx,pkts,1015
3923,s2,eth2,rx,bytes,67362
3923,s2,eth2,rx,drop,0
3923,s2,eth2,rx,errs,0
3923,s2,eth2,tx,pkts,2249
3923,s2,eth2,tx,bytes,87581865
3923,s2,eth2,tx,drop,0
3923,s2,eth2,tx,errs,0
4844,s1,lo,rx,pkts,0
4844,s1,lo,rx,bytes,0
4844,s1,lo,rx,drop,26
4844,s1,lo,rx,errs,0
4844,s1,lo,tx,pkts,0
4844,s1,lo,tx,bytes,0
4844,s1,lo,tx,drop,0
4844,s1,lo,tx,errs,0
4844,s1,eth1,rx,pkts,2658
4844,s1,eth1,rx,bytes,108971144
4844,s1,eth1,rx,drop,0
4844,s1,eth1,rx,errs,0
4844,s1,eth1,tx,pkts,1247
4844,s1,eth1,tx,bytes,85566
4844,s1,eth1,tx,drop,0
4844,s1,eth1,tx,errs,0
4844,s1,eth2,rx,pkts,1232
4844,s1,eth2,rx,bytes,83130
4844,s1,eth2,rx,drop,0
4844,s1,eth2,rx,errs,0
4844,s1,eth2,tx,pkts,2720
4844,s1,eth2,tx,bytes,108976682
4844,s1,eth2,tx,drop,0
4844,s1,eth2,tx,errs,0
6940,s2,lo,rx,pkts,0
6940,s2,lo,rx,bytes,0
6940,s2,lo,rx,drop,30
6940,s2,lo,rx,errs,0
6940,s2,lo,tx,pkts,0
6940,s2,lo,tx,bytes,0
6940,s2,lo,tx,drop,0
6940,s2,lo,tx,errs,0
6940,s2,eth1,rx,pkts,3840
6940,s2,eth1,rx,bytes,157809537
6940,s2,eth1,rx,drop,0
6940,s2,eth1,rx,errs,0
6940,s2,eth1,tx,pkts,1666
6940,s2,eth1,tx,bytes,111925
6940,s2,eth1,tx,drop,0
6940,s2,eth1,tx,errs,0
6940,s2,eth2,rx,pkts,1649
6940,s2,eth2,rx,bytes,109186
6940,s2,eth2,rx,drop,0
6940,s2,eth2,rx,errs,0
6940,s2,eth2,tx,pkts,3863
6940,s2,eth2,tx,bytes,157812672
6940,s2,eth2,tx,drop,0
6940,s2,eth2,tx,errs,0
7861,s1,lo,rx,pkts,0
7861,s1,lo,rx,bytes,0
7861,s1,lo,rx,drop,30
7861,s1,lo,rx,errs,0
7861,s1,lo,tx,pkts,0
7861,s1,lo,tx,bytes,0
7861,s1,lo,tx,drop,0
7861,s1,lo,tx,errs,0
7861,s1,eth1,rx,pkts,4263
7861,s1,eth1,rx,bytes,179070254
7861,s1,eth1,rx,drop,0
7861,s1,eth1,rx,errs,0
7861,s1,eth1,tx,pkts,1866
7861,s1,eth1,tx,bytes,126754
7861,s1,eth1,tx,drop,0
7861,s1,eth1,tx,errs,0
7861,s1,eth2,rx,pkts,1849
7861,s1,eth2,rx,bytes,124015
7861,s1,eth2,rx,drop,0
7861,s1,eth2,rx,errs,0
7861,s1,eth2,tx,pkts,4327
7861,s1,eth2,tx,bytes,179076095
7861,s1,eth2,tx,drop,0
7861,s1,eth2,tx,errs,0
9995,s2,lo,rx,pkts,0
9995,s2,lo,rx,bytes,0
9995,s2,lo,rx,drop,31
9995,s2,lo,rx,errs,0
9995,s2,lo,tx,pkts,0
9995,s2,lo,tx,bytes,0
9995,s2,lo,tx,drop,0
9995,s2,lo,tx,errs,0
9995,s2,eth1,rx,pkts,5435
9995,s2,eth1,rx,bytes,227514928
9995,s2,eth1,rx,drop,0
9995,s2,eth1,rx,errs,0
9995,s2,eth1,tx,pkts,2263
9995,s2,eth1,tx,bytes,151476
9995,s2,eth1,tx,drop,0
9995,s2,eth1,tx,errs,0
9995,s2,eth2,rx,pkts,2245
9995,s2,eth2,rx,bytes,148534
9995,s2,eth2,rx,drop,0
9995,s2,eth2,rx,errs,0
9995,s2,eth2,tx,pkts,5459
9995,s2,eth2,tx,bytes,227518266
9995,s2,eth2,tx,drop,0
9995,s2,eth2,tx,errs,0
10878,s1,lo,rx,pkts,0
10878,s1,lo,rx,bytes,0
10878,s1,lo,rx,drop,31
10878,s1,lo,rx,errs,0
10878,s1,lo,tx,pkts,0
10878,s1,lo,tx,bytes,0
10878,s1,lo,tx,drop,0
10878,s1,lo,tx,errs,0
10878,s1,eth1,rx,pkts,5925
10878,s1,eth1,rx,bytes,250622942
10878,s1,eth1,rx,drop,0
10878,s1,eth1,rx,errs,0
10878,s1,eth1,tx,pkts,2509
10878,s1,eth1,tx,bytes,169634
10878,s1,eth1,tx,drop,0
10878,s1,eth1,tx,errs,0
10878,s1,eth2,rx,pkts,2491
10878,s1,eth2,rx,bytes,166692
10878,s1,eth2,rx,drop,0
10878,s1,eth2,rx,errs,0
10878,s1,eth2,tx,pkts,5990
10878,s1,eth2,tx,bytes,250628986
10878,s1,eth2,tx,drop,0
10878,s1,eth2,tx,errs,0
13012,s2,lo,rx,pkts,0
13012,s2,lo,rx,bytes,0
13012,s2,lo,rx,drop,31
13012,s2,lo,rx,errs,0
13012,s2,lo,tx,pkts,0
13012,s2,lo,tx,bytes,0
13012,s2,lo,tx,drop,0
13012,s2,lo,tx,errs,0
13012,s2,eth1,rx,pkts,7271
13012,s2,eth1,rx,bytes,306681276
13012,s2,eth1,rx,drop,0
13012,s2,eth1,rx,errs,0
13012,s2,eth1,tx,pkts,2925
13012,s2,eth1,tx,bytes,195336
13012,s2,eth1,tx,drop,0
13012,s2,eth1,tx,errs,0
13012,s2,eth2,rx,pkts,2907
13012,s2,eth2,rx,bytes,192394
13012,s2,eth2,rx,drop,0
13012,s2,eth2,rx,errs,0
13012,s2,eth2,tx,pkts,7307
13012,s2,eth2,tx,bytes,306685406
13012,s2,eth2,tx,drop,0
13012,s2,eth2,tx,errs,0
13896,s1,lo,rx,pkts,0
13896,s1,lo,rx,bytes,0
13896,s1,lo,rx,drop,31
13896,s1,lo,rx,errs,0
13896,s1,lo,tx,pkts,0
13896,s1,lo,tx,bytes,0
13896,s1,lo,tx,drop,0
13896,s1,lo,tx,errs,0
13896,s1,eth1,rx,pkts,7737
13896,s1,eth1,rx,bytes,329910022
13896,s1,eth1,rx,drop,0
13896,s1,eth1,rx,errs,0
13896,s1,eth1,tx,pkts,3130
13896,s1,eth1,tx,bytes,210624
13896,s1,eth1,tx,drop,0
13896,s1,eth1,tx,errs,0
13896,s1,eth2,rx,pkts,3111
13896,s1,eth2,rx,bytes,207612
13896,s1,eth2,rx,drop,0
13896,s1,eth2,rx,errs,0
13896,s1,eth2,tx,pkts,7802
13896,s1,eth2,tx,bytes,329916066
13896,s1,eth2,tx,drop,0
13896,s1,eth2,tx,errs,0
16027,s2,lo,rx,pkts,0
16027,s2,lo,rx,bytes,0
16027,s2,lo,rx,drop,34
16027,s2,lo,rx,errs,0
16027,s2,lo,tx,pkts,0
16027,s2,lo,tx,bytes,0
16027,s2,lo,tx,drop,0
16027,s2,lo,tx,errs,0
16027,s2,eth1,rx,pkts,9082
16027,s2,eth1,rx,bytes,385837226
16027,s2,eth1,rx,drop,0
16027,s2,eth1,rx,errs,0
16027,s2,eth1,tx,pkts,3569
16027,s2,eth1,tx,bytes,237848
16027,s2,eth1,tx,drop,0
16027,s2,eth1,tx,errs,0
16027,s2,eth2,rx,pkts,3550
16027,s2,eth2,rx,bytes,234836
